Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,91.300003,91.940002,90.720001,91.940002,88.702614,366
2019-01-03,91.160004,91.279999,91.099998,91.099998,87.892189,3
2019-01-04,91.879997,92.400002,91.300003,92.400002,89.146416,78
2019-01-07,92.500000,92.500000,91.720001,91.760002,88.528946,233
2019-01-08,91.000000,91.000000,90.379997,90.379997,87.197548,1
2019-01-09,90.680000,91.139999,90.000000,90.000000,86.830925,34
2019-01-10,89.779999,91.199997,89.419998,91.199997,87.988663,105
2019-01-11,90.639999,91.199997,90.400002,90.440002,87.255432,47
2019-01-14,89.820000,89.820000,88.220001,88.720001,85.595993,1916
2019-01-15,88.099998,88.699997,87.500000,88.699997,85.576698,1739
2019-01-16,88.099998,89.000000,87.500000,89.000000,85.866135,186
2019-01-17,89.220001,89.220001,87.500000,88.599998,85.480217,919
2019-01-18,88.620003,88.620003,87.419998,88.180000,85.075005,516
2019-01-21,88.000000,88.599998,87.800003,88.279999,85.171486,2189
2019-01-22,87.800003,87.879997,86.879997,86.879997,83.820778,1230
2019-01-23,86.680000,87.019997,86.680000,87.019997,83.955849,88
2019-01-24,86.000000,86.620003,85.400002,86.120003,83.087547,886
2019-01-25,86.000000,86.000000,84.940002,85.800003,82.778809,1281
2019-01-28,84.900002,85.779999,84.580002,85.779999,82.759514,153
2019-01-29,86.099998,86.680000,86.099998,86.680000,83.627823,20
2019-01-30,86.500000,87.800003,86.500000,87.440002,84.361069,52
2019-01-31,86.940002,87.900002,86.480003,87.900002,84.804863,1132
2019-02-01,87.099998,87.800003,86.739998,87.800003,84.708389,184
2019-02-04,87.300003,88.239998,87.300003,88.239998,85.132889,557
2019-02-05,88.760002,89.980003,88.260002,89.980003,86.811630,148
2019-02-06,90.320000,90.320000,89.940002,90.000000,86.830925,50
2019-02-07,89.339996,89.959999,89.260002,89.260002,86.116974,432
2019-02-08,88.860001,88.860001,88.760002,88.760002,85.634583,0
2019-02-11,89.660004,89.879997,89.120003,89.879997,86.715141,143
2019-02-12,90.160004,91.300003,90.160004,91.300003,88.085144,100
2019-02-13,91.080002,91.739998,91.000000,91.379997,88.162315,136
2019-02-14,91.279999,91.860001,91.279999,91.419998,88.200920,210
2019-02-15,91.199997,92.199997,91.000000,91.000000,87.795708,724
2019-02-18,91.400002,91.879997,90.959999,91.720001,88.490349,91
